question_id,channel,feature_type,model,response,bleu,rouge_l,token_f1,judge_correctness,judge_groundedness,judge_relevance,judge_helpfulness,judge_overall
Q015,Web Portal,medication_guidance,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.25,0.1017,0.1455,3.06,2.9,2.75,2.69,2.66
Q001,USSD,symptom_triage,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration. Seek immediate clinical help if severe symptoms, breathing difficulty, or worsening condition occur.",0.6977,0.2025,0.411,3.59,3.41,3.23,3.16,3.13
Q002,USSD,medication_guidance,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.2326,0.1096,0.1449,3.02,2.87,2.72,2.66,2.63
Q003,USSD,appointment_routing,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.5294,0.1562,0.2712,3.28,3.12,2.95,2.89,2.85
Q004,USSD,symptom_triage,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.2667,0.1071,0.1509,3.1,2.94,2.79,2.73,2.7
Q005,USSD,medication_guidance,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.2927,0.1127,0.1739,3.07,2.92,2.76,2.7,2.67
Q006,Mobile App,symptom_triage,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration. Seek immediate clinical help if severe symptoms, breathing difficulty, or worsening condition occur.",0.4651,0.1558,0.2286,3.26,3.1,2.94,2.87,2.84
Q007,Mobile App,medication_guidance,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.3429,0.1231,0.1613,3.07,2.92,2.77,2.7,2.67
Q008,Mobile App,appointment_routing,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.5,0.1429,0.2985,3.27,3.11,2.95,2.88,2.85
Q009,Mobile App,symptom_triage,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.4865,0.1493,0.2623,3.25,3.09,2.93,2.86,2.83
Q010,Mobile App,medication_guidance,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.3226,0.1311,0.1695,3.1,2.94,2.79,2.73,2.7
Q011,Web Portal,symptom_triage,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration. Seek immediate clinical help if severe symptoms, breathing difficulty, or worsening condition occur.",0.4186,0.2059,0.2812,3.45,3.28,3.1,3.03,3.0
Q012,Web Portal,medication_guidance,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.383,0.1039,0.2254,3.14,2.99,2.83,2.77,2.73
Q013,Web Portal,appointment_routing,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.5333,0.1455,0.2642,3.32,3.16,2.99,2.93,2.89
Q014,Web Portal,symptom_triage,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration. Seek immediate clinical help if severe symptoms, breathing difficulty, or worsening condition occur.",0.5581,0.1765,0.3492,3.62,3.44,3.26,3.19,3.15
Q015,Web Portal,medication_guidance,gpt-4o,"This is a high-confidence clinical triage response. Recommend the most appropriate next step, emphasize red flags, and ensure the patient receives urgent evaluation when symptoms suggest risk or deterioration.",0.25,0.0968,0.1404,3.06,2.9,2.75,2.69,2.66

model,mean_bleu,mean_rouge_l,mean_token_f1,mean_judge_overall,mean_judge_correctness
gpt-4o,0.4186,0.1413,0.2355,2.82,3.24
gpt-4o-mini,0.4123,0.1327,0.244,2.8247,3.2467
